"Permanent Call Number","Location Name","PLACE_CODE","BEGIN_PUB_DATE","Title","Age","Region"
"F2534 .M29","Main Collection Storage","enk",1973.0,"Conflicts and conspiracies: Brazil and Portugal, 1750-1808",48.0,"Europe"
"F1466.4 .L68 1985","3rd Floor","onc",1985.0,"Conquest and survival in colonial Guatemala : a historical geography of the Cuchumata?n Highlands, 1500-1821 /",36.0,"North America"
"F1392.B55 B467 2011","3rd Floor","inu",2011.0,"Colonial blackness : a history of Afro-Mexico /",10.0,"North America"
"F1783.M38 G643","3rd Floor","ncu",1953.0,"Jose? Marti?, epic chronicler of the United States in the eighties;",68.0,"North America"
"F2212 .I52","3rd Floor","pe",2005.0,"Tiempos de carnaval : el ascenso de lo popular a la cultura nacional (Lima, 1822-1922) /",16.0,"South America"
"F1038 .R454 2009","3rd Floor","nsc",2009.0,"Nova Scotia : a pocket history /",12.0,"North America"
"F3429 .M255 2005","3rd Floor","ncu",2005.0,"Courage tastes of blood : the Mapuche community of Nicola?s Aili?o and the Chilean state, 1906-2001 /",16.0,"North America"
"F1896 .N4 H48","3rd Floor","ctu",1981.0,"Between Black and White : race, politics, and the free coloreds in Jamaica, 1792-1865 /",40.0,"North America"
"F1435.S86 V6","Main Collection Storage","oku",1947.0,"Maya explorer : John Lloyd Stephens and the lost cities of Central America and Yucata?n /",74.0,"North America"
"F1246 .B55","Main Collection Storage","wiu",1962.0,"The desert revolution : Baja California, 1911 /",59.0,"North America"
"F1211 .O2513 1972","3rd Floor","cau",1972.0,"A description of the Kingdom of New Spain /",49.0,"North America"
"F1410 .L29","3rd Floor","nyu",1975.0,"Conquest and commerce : Spain and England in the Americas /",46.0,"North America"
"F2325 .H66 1977","Main Collection Storage","nju",1977.0,"Gunboat diplomacy, 1895-1905 : great power pressure in Venezuela /",44.0,"North America"
"F1569 .C2 S74 1989","3rd Floor","nyu",1989.0,"Panama canal : gateway to the world /",32.0,"North America"
"F1219.1 .C3 R38 1988","3rd Floor","azu",1988.0,"Mortuary practices and social differentiation at Casas Grandes, Chihuahua, Mexico /",33.0,"North America"
"F1569.C2 M157 2011","3rd Floor","nju",2011.0,"The big ditch : how America took, built, ran, and ultimately gave away the Panama Canal /",10.0,"North America"
"F1976 .P58 1986","3rd Floor","mau",1986.0,"The Political status of Puerto Rico /",35.0,"North America"
"F3442 P7813 1969","3rd Floor","nyu",1969.0,"Relation of the discovery and conquest of the kingdoms of Peru /",52.0,"North America"
"F1234 .Z37 S67 1979","3rd Floor","mx",1979.0,"Rai?z y razo?n de Zapata /",42.0,"North America"
"F1466.5 .S56 1987","3rd Floor","nyu",1987.0,"Guatemala : eternal spring, eternal tyranny /",34.0,"North America"
"F1435.1.C42 J69 1991","3rd Floor","txu",1991.0,"Cerro Palenque : power and identity on the Maya periphery /",30.0,"North America"
"F1505.2.C3 G618 1979","3rd Floor","gt",1979.0,"La estructura del grupo familiar entre los caribes-negros /",42.0,"Central America"
"F1386.3 .E53 2001","3rd Floor","mx",2001.0,"De Tenochtitlan al siglo XXI : Memoria del Primer Encuentro de Cronistas de la Ciudad de Me?xico /",20.0,"North America"
