"Call Number","PLACE_CODE","BEGIN_PUB_DATE","Brittle","Age","Region"
"F1026 .H348 2008","bcc",2008,"0",13,"North America"
"F1027 .C224 1978","nyu",1978,"0",43,"North America"
"F1029 .M6","wiu",1961,"0",60,"North America"
"F1030.1 .B6","nyu",1948,"1",73,"North America"
"F1030.1 .C494 1946","nyu",1946,"0",75,"North America"
"F1030.5 .J863 1962","nyu",1962,"0",59,"North America"
"F1032 .B929 1972","enk",1972,"0",49,"Europe"
"F1032 .D986 M37","enk",1972,"0",49,"Europe"
"F1032 .M88 1977","onc",1977,"0",44,"North America"
"F1033 .L376","onc",1971,"0",50,"North America"
"F1034 .B618 1987","onc",1987,"0",34,"North America"
"F1034 .C67 2013","onc",2013,"0",8,"North America"
"F1034 .D35","onc",1961,"1",60,"North America"
"F1034 .R55","onc",1962,"0",59,"North America"
"F1035 .A5 W5","nyu",1971,"1",50,"North America"
"F1035.C7 W55 2007","onc",2007,"0",14,"North America"
"F1035.E89 M37 2001","onc",2001,"0",20,"North America"
"F1035.J5 A23 1983","nyu",1983,"0",38,"North America"
"F1038 .R454 2009","nsc",2009,"0",12,"North America"
"F1052 .C67","onc",1960,"0",61,"North America"
"F1052 .S63 1993","enk",1993,"0",28,"Europe"
"F1053 .B34 1985","onc",1985,"0",36,"North America"
"F1054 .S224 M5 1963","ilu",1963,"0",58,"North America"
"F1058 .K56 U4","mau",1969,"0",52,"North America"
"F1058 .P68 1993","onc",1993,"0",28,"North America"
"F1059.5.C67 P37 2004","nyu",2004,"0",17,"North America"
"F1060.7 .M1773","oku",1966,"0",55,"North America"
"F1079.B75 A76 2009","quc",2009,"0",12,"North America"
"F1089.5.S75 L34 1998","bcc",1998,"0",23,"North America"
"F1089.F7 B63 1997","bcc",1997,"0",24,"North America"
"F1090.5 .N6675 2001","onc",2001,"0",20,"North America"
"F1137.H83 A3 2005","quc",2005,"0",16,"North America"
"F1204 .B74 1981","nju",1981,"0",40,"North America"
"F1210 .G66 1943","mx",1943,"1",78,"North America"
"F1210 .O84 1989","nyu",1989,"0",32,"North America"
"F1210 .S7","nyu",1941,"0",80,"North America"
"F1211 .O2513 1972","cau",1972,"0",49,"North America"
"F1213 .W83 1969","nmu",1969,"0",52,"North America"
"F1215 .W34","xx",1939,"1",82,"No place"
"F1216 .C613 1964","nyu",1964,"1",57,"North America"
"F1216 .P67 1987","nmu",1987,"0",34,"North America"
"F1219 .A2","ilu",1978,"0",43,"North America"
"F1219 .A597 1998","nyu",1998,"0",23,"North America"
"F1219 .B2292 1978","nyu",1978,"0",43,"North America"
"F1219 .B893","nmu",1975,"0",46,"North America"
"F1219 .C595 2007","mx",2007,"0",14,"North America"
"F1219 .C7555","mx",1970,"0",51,"North America"
"F1219 .E18 1976","nyu",1976,"0",45,"North America"
"F1219 .K43","nju",1971,"0",50,"North America"
"F1219 .K44","oku",1982,"0",39,"North America"
"F1219 .P4","mx",1972,"0",49,"North America"
"F1219 .P733 2003","utu",2010,"0",11,"North America"
"F1219 .V25 1880","mau",1880,"1",141,"North America"
"F1219 .Z94 1963","mx",1963,"1",58,"North America"
"F1219.1 .B3 C76 1984","cau",1984,"0",37,"North America"
"F1219.1 .C3 R38 1988","azu",1988,"0",33,"North America"
"F1219.1 .O11 P25","cau",1966,"0",55,"North America"
"F1219.1 .T2 K35","flu",1972,"0",49,"North America"
"F1219.1.B3 C76","cau",1975,"0",46,"North America"
"F1219.1.B3 D47 2010","utu",2010,"0",11,"North America"
"F1219.1.M5 A94 2005","mx",2005,"0",16,"North America"
"F1219.1.M5 H67 1997","cau",1997,"0",24,"North America"
"F1219.1.M53 M47 1985","mx",1985,"0",36,"North America"
"F1219.1.O11 S74 2007","dcu",2007,"0",14,"North America"
"F1219.1.T2 K66 2009","txu",2009,"0",12,"North America"
"F1219.3 .M59 B7313","azu",1977,"0",44,"North America"
"F1219.3 .W6 A5","nyu",1973,"0",48,"North America"
"F1219.3.A7 M42","cau",1969,"0",52,"North America"
"F1219.3.A7 M55 2001","enk",2001,"0",20,"Europe"
"F1219.3.A7 T6 1952","mx",1970,"0",51,"North America"
"F1219.3.C85 E37 1987","azu",1987,"0",34,"North America"
"F1219.3.M55 A43 2003","cau",2003,"0",18,"North America"
"F1219.3.R38 G7213 1997","oku",1997,"0",24,"North America"
"F1219.3.R38 I26 2017","mx",2017,"0",4,"North America"
"F1219.3.R38 P55 1992","mx",1992,"0",29,"North America"
"F1219.3.R38 T38 2011","cau",2011,"0",10,"North America"
"F1219.54.A98 S48 2005","mx",2005,"0",16,"North America"
"F1219.56.C636 L45 2007","mx",2007,"0",14,"North America"
"F1219.7 .D38 1982b","enk",1982,"0",39,"Europe"
"F1219.76.F65 H86 1984","nyu",1984,"0",37,"North America"
"F1219.76.R45 B78","oku",1982,"0",39,"North America"
"F1219.76.R45 C372 1990","cau",1990,"0",31,"North America"
"F1219.8 .T37 G66 1985","tnu",1985,"0",36,"North America"
"F1219.8.Z37 C56 1983","nyu",1983,"0",38,"North America"
"F1219.8.Z37 M37 1996","nyu",1996,"0",25,"North America"
"F1221 .L2 M4 1990","cau",1990,"0",31,"North America"
"F1221 .N3 S86","azu",1975,"0",46,"North America"
"F1221 .O86 G7","nyu",1970,"0",51,"North America"
"F1221 .T25 M47 1988","dcu",1988,"0",33,"North America"
"F1221 .T9 H38","ilu",1977,"0",44,"North America"
"F1221.C57 H67 2016","cou",2016,"0",5,"North America"
"F1221.C6 G89 2002","mx",2002,"0",19,"North America"
"F1221.L2 P47 1982","mau",1982,"0",39,"North America"
"F1221.M7 P367 2005","mx",2005,"0",16,"North America"
"F1221.M7 S66 1984","oku",1984,"0",37,"North America"
"F1221.N3 C58 1986","nmu",1986,"0",35,"North America"
"F1221.N3 L63 1992","cau",1992,"0",29,"North America"
"F1221.T8 S77 1978","mou",1978,"0",43,"North America"
"F1221.T9 G69 1999","nyu",1999,"0",22,"North America"
"F1221.T9 V59","mau",1976,"0",45,"North America"
"F1221.Y3 H83 1984","wiu",1984,"0",37,"North America"
"F1221.Y3 S66","azu",1980,"0",41,"North America"
"F1221.Z3 C58 1982","dcu",1982,"0",39,"North America"
"F1221.Z3 K42","nyu",1972,"0",49,"North America"
"F1221.Z3 S7 1971","miu",1971,"0",50,"North America"
"F1224 .F5213 2006","oku",2006,"0",15,"North America"
"F1224 .F54 1987","mx",1987,"0",34,"North America"
"F1225 .C55 G37 1970","mx",1970,"0",51,"North America"
"F1226 .D69 1996","oku",1996,"0",25,"North America"
"F1226 .J48 1970","mx",1970,"0",51,"North America"
"F1226 .T66 1973","xx",1973,"1",48,"No place"
"F1230 .G7715 1973","mx",1973,"0",48,"North America"
"F1230 .L38 1972","mx",1972,"0",49,"North America"
"F1230 .M46 2002","mx",2002,"0",19,"North America"
"F1230 .S1313 1989","utu",1989,"0",32,"North America"
"F1231 .B6","txu",1962,"0",59,"North America"
"F1231.5 M66 1982","nbu",1982,"0",39,"North America"
"F1232 .B374 1959","mx",1959,"1",62,"North America"
"F1232 .I925 1968","nyu",1968,"0",53,"North America"
"F1232 .S2312 1964","ctu",1964,"0",57,"North America"
"F1232 .W38 2000","nmu",2000,"0",21,"North America"
"F1233 .C278","fr",1925,"1",96,"Europe"
"F1233 .G67 C3","txu",1972,"0",49,"North America"
