DISPLAY_CALL_NO,PubDate,PlaceCode,Age,Region,Brittle
F1001 .C124,1954,onc,65,North America,0
F1001 .C124,1954,onc,47,North America,0
F1001 .C13,1881,onc,138,North America,1
F1001 .C13,1881,onc,133,North America,0
F1001 .C205,1898,onc,121,North America,1
F1001 .C215,1971,onc,48,North America,0
F1001 .C215,1971,onc,48,North America,0
F1001 .C26,1915,onc,104,North America,0
F1001 .C27,1920,onc,99,North America,0
F1001 .C28,1925,enk,94,Europe,1
F1001 .D6,1968,quc,32,North America,0
F1001 .D6,1973,quc,41,North America,0
F1001 .E55,1900,onc,114,North America,0
F1001 .F43a,1900,pic,114,North America,0
F1001 .G4,1967,onc,52,North America,0
F1001 .I48,1989,onc,30,North America,0
F1001 .I48,1989,onc,30,North America,0
F1001 .J68,1966,onc,48,North America,0
F1001 .J68,1966,onc,53,North America,0
F1001 .J68,1966,onc,53,North America,0
F1001 .R48,1947,quc,67,North America,0
F1001 .R48,1947,quc,72,North America,0
F1001 .V54,1952,quc,67,North America,0
F1004 .C65 1983,1983,onc,31,North America,0
F1004 .O5,1967,mbc,47,North America,0
F1005 .D49,1700,onc,319,North America,0
F1005 .L81,1923,onc,91,North America,0
F1005 .M23,1978,onc,41,North America,0
F1005 .P76 1993,1993,onc,26,North America,0
F1006 .E625 1968,1968,onc,51,North America,0
F1006 .E625 1972,1972,onc,42,North America,0
F1006 .E625 1972,1972,onc,42,North America,0
F1008 .A54,1973,dcu,41,North America,0
F1008 .B77 1968,1968,nyu,46,North America,0
F1008 .C297 1860a,1860,quc,159,North America,1
F1008 .E3,1962,nyu,57,North America,0
F1008 .F58,1900,onc,119,North America,1
F1008 .G8,1913,enk,101,Europe,0
F1008 .H44,1934,enk,80,Europe,0
F1008 .M968,1939,stk,75,Europe,0
F1008 .S572,1966,xxc,34,North America,0
F1009 .C19 1931,1931,xx,88,No place,0
F1009 .C23,1891,nyu,128,North America,0
F1009 .E28,2001,ilu,18,North America,0
F1009 .G85,1983,ctu,36,North America,0
F1009 .H55 1977,1977,ilu,37,North America,0
