UA646 .D63,1974,sw,1,,45,sw,Europe,0
UG401 .J8,1866,sp,1,,153,sp,Europe,0
UG403 .W57,1880,nyu,0,,139,nyu,North America,1
UG430.M55 N53 1994,1994,sp,0,,25,sp,Europe,0
UG444 .W3,1938,xx,0,,81,xx,No place,0
UG446.5 .K7,1921,gw,0,,98,gw,Europe,1
UG447 .A826,1964,xx,0,,55,xx,No place,1
UG447 .T573 1984,1984,ru,1,,35,ru,Europe,0
UG447 .U5868,1937,xx,0,,82,xx,No place,1
UG460 .N45 1996,1996,ru,1,,23,ru,Europe,0
UG470 .B5,1918,nyu,0,,101,nyu,North America,0
UG470 .P4 1914,1914,enk,1,,105,enk,Europe,0
UG485 .E4,1959,ohu,0,,60,ohu,North America,0
UG573 .A65 1914,1914,dcu,0,,105,dcu,North America,0
UG575.G3 H3 1967,1967,gw,0,,52,gw,Europe,1
UG610 .S29,1965,yu,1,,54,yu,Europe,0
UG615 .F67 1978,1978,nyu,0,,41,nyu,North America,0
UG626.2.B25 G74 1997,1997,ctu,0,,22,ctu,North America,0
UG630 .A37 1911,1911,fr,0,,108,fr,Europe,1
UG630 .D9,1948,ag,0,,71,ag,South America,0
UG630 .V4 1942,1942,gw,0,,77,gw,Europe,1
UG630 .W53,1940,nyu,1,,79,nyu,North America,0
UG632 .I3 1945,1945,xx,1,,74,xx,No place,0
UG633 .A37784 no. 174 1970,1970,nyu,1,,49,nyu,North America,0
UG633 .A47 1964,1964,alu,1,,55,alu,North America,0
UG633 .A4712,1959,xx,1,,60,xx,No place,0
UG633 .C626 1981,1981,nyu,1,,38,nyu,North America,0
UG635.G3 R55,1964,xx,0,,55,xx,No place,0
"UG635.G7 A294 no. 7, 1936",1936,enk,0,,83,enk,Europe,0
UG635.G7 A2945,1940,enk,1,,79,enk,Europe,0
UG635.G7 M366 1982,1982,enk,0,,37,enk,Europe,0
UG635.G7 T3,1943,enk,1,,76,enk,Europe,0
UG635.N4 A53,1900,ne,0,,119,ne,Europe,0
UG635.N6 F73 1994,1994,no,0,,25,no,Europe,0
UG635.R9 L4 1936,1936,xx,0,,83,xx,No place,1
